position,season,games_played_season,fantasy_points,player_type,points_per_game,position_rank,position_percentile
QB,2020,16.0,762.26,offensive,47.64,1.0,1.0
QB,2020,15.0,670.4000000000001,offensive,44.69,2.0,0.9811320754716981
QB,2020,16.0,697.06,offensive,43.57,3.0,0.9622641509433962
QB,2020,5.0,214.64,offensive,42.93,4.0,0.9433962264150944
QB,2020,16.0,671.78,offensive,41.99,5.0,0.9245283018867925
QB,2020,16.0,651.9200000000001,offensive,40.75,6.0,0.9056603773584906
QB,2020,16.0,621.32,offensive,38.83,7.0,0.8867924528301887
QB,2020,15.0,562.8399999999999,offensive,37.52,8.0,0.8679245283018868
QB,2020,16.0,597.36,offensive,37.34,9.0,0.8490566037735849
QB,2020,16.0,576.74,offensive,36.05,10.0,0.8301886792452831
QB,2020,16.0,568.2,offensive,35.51,11.0,0.8113207547169812
QB,2020,14.0,487.1,offensive,34.79,12.0,0.7924528301886793
QB,2020,15.0,519.22,offensive,34.61,13.0,0.7735849056603774
QB,2020,11.0,350.12,offensive,31.83,14.0,0.7547169811320755
QB,2020,9.0,283.66,offensive,31.52,15.0,0.7358490566037735
QB,2020,16.0,482.44,offensive,30.15,16.0,0.7169811320754716
QB,2020,16.0,480.12,offensive,30.01,17.0,0.6981132075471698
QB,2020,16.0,462.56,offensive,28.91,18.0,0.6792452830188679
QB,2020,16.0,447.62,offensive,27.98,19.0,0.660377358490566
QB,2020,9.0,246.74,offensive,27.42,20.0,0.6415094339622641
TE,2020,15.0,331.76,offensive,22.12,1.0,1.0
TE,2020,15.0,256.6,offensive,17.11,2.0,0.9879518072289156
TE,2020,16.0,271.6,offensive,16.98,3.0,0.9759036144578314
TE,2020,13.0,182.3,offensive,14.02,4.0,0.963855421686747
TE,2020,14.0,191.2,offensive,13.66,5.0,0.9518072289156626
TE,2020,4.0,50.6,offensive,12.65,6.0,0.9397590361445783
TE,2020,15.0,179.1,offensive,11.94,7.0,0.927710843373494
TE,2020,15.0,172.4,offensive,11.49,8.0,0.9096385542168675
TE,2020,15.0,172.3,offensive,11.49,8.0,0.9096385542168675
TE,2020,16.0,182.3,offensive,11.39,10.0,0.891566265060241
TE,2020,6.0,63.9,offensive,10.65,11.0,0.8795180722891566
TE,2020,16.0,170.3,offensive,10.64,12.0,0.8674698795180723
TE,2020,16.0,168.62,offensive,10.54,13.0,0.8493975903614458
TE,2020,12.0,126.5,offensive,10.54,13.0,0.8493975903614458
TE,2020,9.0,92.8,offensive,10.31,15.0,0.8313253012048193
TE,2020,10.0,102.9,offensive,10.29,16.0,0.8192771084337349
TE,2020,16.0,161.1,offensive,10.07,17.0,0.8072289156626506
TE,2020,14.0,140.8,offensive,10.06,18.0,0.7951807228915663
TE,2020,11.0,109.1,offensive,9.92,19.0,0.7831325301204819
TE,2020,15.0,141.8,offensive,9.45,20.0,0.7710843373493976
TE,2020,14.0,131.3,offensive,9.38,21.0,0.7590361445783133
TE,2020,13.0,115.5,offensive,8.88,22.0,0.7469879518072289
TE,2020,8.0,70.5,offensive,8.81,23.0,0.7349397590361446
TE,2020,5.0,44.0,offensive,8.8,24.0,0.7228915662650602
TE,2020,12.0,103.2,offensive,8.6,25.0,0.7108433734939759
TE,2020,5.0,40.9,offensive,8.18,26.0,0.6987951807228916
TE,2020,16.0,127.5,offensive,7.97,27.0,0.6867469879518072
TE,2020,5.0,39.5,offensive,7.9,28.0,0.6746987951807228
TE,2020,14.0,109.8,offensive,7.84,29.0,0.6626506024096386
TE,2020,4.0,30.1,offensive,7.52,30.0,0.6506024096385542
WR,2020,14.0,453.4,offensive,32.39,1.0,1.0
WR,2020,15.0,419.9,offensive,27.99,2.0,0.9941176470588236
WR,2020,14.0,312.5,offensive,22.32,3.0,0.9882352941176471
WR,2020,14.0,303.5,offensive,21.68,4.0,0.9823529411764705
WR,2020,11.0,227.9,offensive,20.72,5.0,0.9764705882352941
WR,2020,16.0,330.6,offensive,20.66,6.0,0.9705882352941176
WR,2020,15.0,287.5,offensive,19.17,7.0,0.9647058823529412
WR,2020,16.0,300.3,offensive,18.77,8.0,0.9588235294117647
WR,2020,16.0,293.6,offensive,18.35,9.0,0.9529411764705882
WR,2020,16.0,281.4,offensive,17.59,10.0,0.9470588235294117
WR,2020,12.0,206.0,offensive,17.17,11.0,0.9411764705882353
WR,2020,7.0,117.0,offensive,16.71,12.0,0.9352941176470588
WR,2020,14.0,227.1,offensive,16.22,13.0,0.9294117647058824
WR,2020,16.0,256.2,offensive,16.01,14.0,0.9235294117647059
WR,2020,16.0,255.5,offensive,15.97,15.0,0.9176470588235294
WR,2020,16.0,251.8,offensive,15.74,16.0,0.9117647058823529
WR,2020,12.0,187.02,offensive,15.58,17.0,0.9058823529411765
WR,2020,16.0,238.8,offensive,14.92,18.0,0.9
WR,2020,16.0,229.1,offensive,14.32,19.0,0.8941176470588236
WR,2020,15.0,214.3,offensive,14.29,20.0,0.888235294117647
WR,2020,15.0,213.8,offensive,14.25,21.0,0.8823529411764706
WR,2020,16.0,227.6,offensive,14.23,22.0,0.8764705882352941
WR,2020,7.0,97.82,offensive,13.97,23.0,0.8705882352941177
WR,2020,5.0,69.80000000000001,offensive,13.96,24.0,0.8647058823529412
WR,2020,16.0,222.9,offensive,13.93,25.0,0.8588235294117647
WR,2020,16.0,215.1,offensive,13.44,26.0,0.8529411764705882
WR,2020,16.0,213.0,offensive,13.31,27.0,0.8470588235294118
WR,2020,15.0,197.6,offensive,13.17,28.0,0.8411764705882353
WR,2020,10.0,128.3,offensive,12.83,29.0,0.8352941176470589
WR,2020,13.0,164.9,offensive,12.68,30.0,0.8294117647058824
WR,2020,14.0,172.3,offensive,12.31,31.0,0.8235294117647058
WR,2020,16.0,194.8,offensive,12.18,32.0,0.8176470588235294
WR,2020,8.0,96.8,offensive,12.1,33.0,0.8117647058823529
WR,2020,16.0,191.7,offensive,11.98,34.0,0.8058823529411765
WR,2020,15.0,178.8,offensive,11.92,35.0,0.8
WR,2020,15.0,177.5,offensive,11.83,36.0,0.7941176470588235
WR,2020,15.0,176.2,offensive,11.75,37.0,0.788235294117647
WR,2020,14.0,164.4,offensive,11.74,38.0,0.7823529411764706
WR,2020,14.0,162.3,offensive,11.59,39.0,0.7764705882352941
WR,2020,14.0,161.70000000000002,offensive,11.55,40.0,0.7705882352941177
RB,2020,15.0,350.8,offensive,23.39,1.0,1.0
RB,2020,14.0,293.8,offensive,20.99,2.0,0.991304347826087
RB,2020,16.0,310.1,offensive,19.38,3.0,0.9826086956521739
RB,2020,9.0,157.4,offensive,17.49,4.0,0.9739130434782609
RB,2020,14.0,231.9,offensive,16.56,5.0,0.9652173913043478
RB,2020,14.0,231.4,offensive,16.53,6.0,0.9565217391304348
RB,2020,10.0,161.7,offensive,16.17,7.0,0.9478260869565217
RB,2020,12.0,188.8,offensive,15.73,8.0,0.9391304347826087
RB,2020,15.0,232.8,offensive,15.52,9.0,0.9304347826086956
RB,2020,6.0,90.6,offensive,15.1,10.0,0.9217391304347826
RB,2020,16.0,236.50000000000003,offensive,14.78,11.0,0.9130434782608695
RB,2020,10.0,146.8,offensive,14.68,12.0,0.9043478260869565
RB,2020,6.0,83.1,offensive,13.85,13.0,0.8956521739130435
RB,2020,9.0,120.4,offensive,13.38,14.0,0.8869565217391304
RB,2020,15.0,198.3,offensive,13.22,15.0,0.8782608695652174
RB,2020,13.0,168.8,offensive,12.98,16.0,0.8695652173913043
RB,2020,12.0,154.8,offensive,12.9,17.0,0.8608695652173913
RB,2020,15.0,185.7,offensive,12.38,18.0,0.8521739130434782
RB,2020,13.0,159.3,offensive,12.25,19.0,0.8434782608695652
RB,2020,14.0,169.5,offensive,12.11,20.0,0.8347826086956521
RB,2020,14.0,168.4,offensive,12.03,21.0,0.8260869565217391
RB,2020,13.0,154.5,offensive,11.88,22.0,0.8173913043478261
RB,2020,10.0,116.6,offensive,11.66,23.0,0.808695652173913
RB,2020,13.0,150.0,offensive,11.54,24.0,0.8
RB,2020,12.0,136.4,offensive,11.37,25.0,0.7913043478260869
RB,2020,16.0,176.2,offensive,11.01,26.0,0.782608695652174
RB,2020,15.0,163.2,offensive,10.88,27.0,0.7739130434782608
RB,2020,11.0,113.2,offensive,10.29,28.0,0.7652173913043478
RB,2020,8.0,82.2,offensive,10.28,29.0,0.7565217391304347
RB,2020,8.0,80.30000000000001,offensive,10.04,30.0,0.7478260869565218
RB,2020,16.0,159.0,offensive,9.94,31.0,0.7391304347826086
RB,2020,10.0,96.7,offensive,9.67,32.0,0.7304347826086957
RB,2020,14.0,132.2,offensive,9.44,33.0,0.7217391304347827
RB,2020,6.0,56.00000000000001,offensive,9.33,34.0,0.7130434782608696
RB,2020,12.0,109.1,offensive,9.09,35.0,0.7043478260869566
RB,2020,16.0,145.1,offensive,9.07,36.0,0.6956521739130435
RB,2020,15.0,123.9,offensive,8.26,37.0,0.6869565217391305
RB,2020,15.0,123.20000000000002,offensive,8.21,38.0,0.6782608695652174
RB,2020,14.0,113.6,offensive,8.11,39.0,0.6695652173913044
RB,2020,9.0,72.3,offensive,8.03,40.0,0.6608695652173913
IDP,2020,16.0,428.25,defensive,26.77,1.0,1.0
IDP,2020,6.0,142.0,defensive,23.67,2.0,0.9986648865153538
IDP,2020,17.0,401.25,defensive,23.6,3.0,0.9973297730307076
IDP,2020,18.0,408.5,defensive,22.69,4.0,0.9959946595460614
IDP,2020,16.0,358.75,defensive,22.42,5.0,0.9946595460614153
IDP,2020,18.0,398.0,defensive,22.11,6.0,0.9933244325767691
IDP,2020,10.0,216.25,defensive,21.62,7.0,0.9919893190921228
IDP,2020,14.0,300.75,defensive,21.48,8.0,0.9906542056074766
IDP,2020,13.0,276.5,defensive,21.27,9.0,0.9893190921228304
IDP,2020,16.0,335.5,defensive,20.97,10.0,0.9879839786381842
IDP,2020,15.0,306.5,defensive,20.43,11.0,0.986648865153538
IDP,2020,18.0,364.0,defensive,20.22,12.0,0.9853137516688919
IDP,2020,15.0,300.5,defensive,20.03,13.0,0.9839786381842457
IDP,2020,18.0,353.75,defensive,19.65,14.0,0.9826435246995995
IDP,2020,16.0,310.0,defensive,19.38,15.0,0.9813084112149533
IDP,2020,16.0,308.0,defensive,19.25,16.0,0.9799732977303071
IDP,2020,13.0,250.0,defensive,19.23,17.0,0.9786381842456608
IDP,2020,15.0,278.25,defensive,18.55,18.0,0.9773030707610146
IDP,2020,13.0,240.75,defensive,18.52,19.0,0.9759679572763685
IDP,2020,16.0,293.5,defensive,18.34,20.0,0.9746328437917223
K,2020,15.0,171.0,kicker,11.4,1.0,1.0
K,2020,16.0,177.0,kicker,11.06,2.0,0.972972972972973
K,2020,16.0,155.0,kicker,9.69,3.0,0.9459459459459459
K,2020,16.0,153.0,kicker,9.56,4.0,0.918918918918919
K,2020,7.0,65.0,kicker,9.29,5.0,0.8918918918918919
K,2020,15.0,139.0,kicker,9.27,6.0,0.8648648648648649
K,2020,16.0,148.0,kicker,9.25,7.0,0.8378378378378378
K,2020,16.0,145.0,kicker,9.06,8.0,0.8108108108108109
